Custom service | 2020-02-11 16:50:39.437 | CustomPaymentHandlerApplication | No active profile set, falling back to default profiles: default
Custom service | 2020-02-11 16:50:54.353 | CustomPaymentHandlerApplication | Started CustomPaymentHandlerApplication in 19.474 seconds (JVM running for 20.526)
Custom service | 2020-02-11 16:50:56.995 | DataLoader | init..
Custom service | 2020-02-11 17:02:45.246 | CustomPaymentHandlerApplication | No active profile set, falling back to default profiles: default
Custom service | 2020-02-11 17:03:18.225 | CustomPaymentHandlerApplication | Started CustomPaymentHandlerApplication in 37.535 seconds (JVM running for 38.621)
Custom service | 2020-02-11 17:08:53.356 | CustomPaymentHandlerApplication | No active profile set, falling back to default profiles: default
Custom service | 2020-02-11 17:09:13.455 | CustomPaymentHandlerApplication | Started CustomPaymentHandlerApplication in 24.883 seconds (JVM running for 25.94)
Custom service | 2020-02-11 17:12:17.051 | CustomPaymentHandlerApplication | No active profile set, falling back to default profiles: default
Custom service | 2020-02-11 17:12:32.768 | CustomPaymentHandlerApplication | Started CustomPaymentHandlerApplication in 20.164 seconds (JVM running for 21.294)
Custom service | 2020-02-11 17:16:27.954 | CustomPaymentHandlerApplication | No active profile set, falling back to default profiles: default
Custom service | 2020-02-11 17:16:43.198 | CustomPaymentHandlerApplication | Started CustomPaymentHandlerApplication in 19.579 seconds (JVM running for 20.59)
Custom service | 2020-02-11 17:18:53.705 | CustomPaymentHandlerApplication | No active profile set, falling back to default profiles: default
Custom service | 2020-02-11 17:19:08.471 | CustomPaymentHandlerApplication | Started CustomPaymentHandlerApplication in 19.444 seconds (JVM running for 20.501)
Custom service | 2020-02-11 17:19:27.909 | CustomPaymentHandlerApplication | No active profile set, falling back to default profiles: default
Custom service | 2020-02-11 17:19:42.572 | CustomPaymentHandlerApplication | Started CustomPaymentHandlerApplication in 19.072 seconds (JVM running for 20.137)
