Custom service | 2020-02-12 12:08:07.217 | CustomPaymentHandlerApplication | No active profile set, falling back to default profiles: default
Custom service | 2020-02-12 12:08:22.416 | CustomPaymentHandlerApplication | Started CustomPaymentHandlerApplication in 19.751 seconds (JVM running for 20.785)
Custom service | 2020-02-12 12:31:34.324 | CustomPaymentHandlerApplication | No active profile set, falling back to default profiles: default
Custom service | 2020-02-12 12:31:48.875 | CustomPaymentHandlerApplication | Started CustomPaymentHandlerApplication in 18.905 seconds (JVM running for 19.925)
Custom service | 2020-02-12 12:40:47.867 | CustomPaymentHandlerApplication | No active profile set, falling back to default profiles: default
Custom service | 2020-02-12 12:41:03.736 | CustomPaymentHandlerApplication | Started CustomPaymentHandlerApplication in 20.318 seconds (JVM running for 21.348)
Custom service | 2020-02-12 15:48:20.068 | CustomPaymentHandlerApplication | No active profile set, falling back to default profiles: default
Custom service | 2020-02-12 15:48:35.474 | CustomPaymentHandlerApplication | Started CustomPaymentHandlerApplication in 19.814 seconds (JVM running for 22.275)
Custom service | 2020-02-12 15:50:33.703 | CustomPaymentHandlerApplication | No active profile set, falling back to default profiles: default
Custom service | 2020-02-12 15:50:48.557 | CustomPaymentHandlerApplication | Started CustomPaymentHandlerApplication in 19.367 seconds (JVM running for 20.452)
Custom service | 2020-02-12 17:15:43.550 | CustomPaymentHandlerApplication | No active profile set, falling back to default profiles: default
Custom service | 2020-02-12 17:16:15.028 | CustomPaymentHandlerApplication | No active profile set, falling back to default profiles: default
Custom service | 2020-02-12 17:17:14.943 | CustomPaymentHandlerApplication | No active profile set, falling back to default profiles: default
Custom service | 2020-02-12 17:17:30.733 | CustomPaymentHandlerApplication | Started CustomPaymentHandlerApplication in 20.428 seconds (JVM running for 21.437)
Custom service | 2020-02-12 17:21:34.550 | CustomPaymentHandlerApplication | No active profile set, falling back to default profiles: default
Custom service | 2020-02-12 17:21:52.119 | CustomPaymentHandlerApplication | Started CustomPaymentHandlerApplication in 22.194 seconds (JVM running for 23.199)
Custom service | 2020-02-12 17:23:04.537 | CustomPaymentHandlerApplication | No active profile set, falling back to default profiles: default
Custom service | 2020-02-12 17:23:19.473 | CustomPaymentHandlerApplication | Started CustomPaymentHandlerApplication in 19.527 seconds (JVM running for 20.547)
Custom service | 2020-02-12 18:35:21.181 | CustomPaymentHandlerApplication | No active profile set, falling back to default profiles: default
Custom service | 2020-02-12 18:35:36.374 | CustomPaymentHandlerApplication | Started CustomPaymentHandlerApplication in 19.736 seconds (JVM running for 20.763)
Custom service | 2020-02-12 18:57:53.094 | CustomPaymentHandlerApplication | No active profile set, falling back to default profiles: default
Custom service | 2020-02-12 18:58:08.357 | CustomPaymentHandlerApplication | Started CustomPaymentHandlerApplication in 19.822 seconds (JVM running for 20.939)
Custom service | 2020-02-12 19:33:24.545 | CustomPaymentHandlerApplication | No active profile set, falling back to default profiles: default
Custom service | 2020-02-12 19:33:40.246 | CustomPaymentHandlerApplication | Started CustomPaymentHandlerApplication in 20.778 seconds (JVM running for 21.948)
Custom service | 2020-02-12 19:59:56.049 | CustomPaymentHandlerApplication | No active profile set, falling back to default profiles: default
Custom service | 2020-02-12 20:00:20.897 | CustomPaymentHandlerApplication | Started CustomPaymentHandlerApplication in 30.739 seconds (JVM running for 32.058)
Custom service | 2020-02-12 20:16:19.466 | CustomController | Pay initialized
Custom service | 2020-02-12 20:16:19.501 | IdGenerator | attempt: 0
Custom service | 2020-02-12 20:16:19.502 | IdGenerator | index: 8641031363
Custom service | 2020-02-12 20:16:19.616 | IdGenerator | not found this id
Custom service | 2020-02-12 20:16:19.720 | CustomController | Pay initialized ended
Custom service | 2020-02-12 20:16:19.720 | CustomController | Payment init
Custom service | 2020-02-12 20:16:19.721 | CustomController | Tx ended sucessfull, amount:  null , clientSeller : 1 has started
Custom service | 2020-02-12 20:16:19.800 | CustomController | Pay initialized ended
Custom service | 2020-02-12 20:18:37.229 | CustomPaymentHandlerApplication | No active profile set, falling back to default profiles: default
Custom service | 2020-02-12 20:18:56.890 | CustomPaymentHandlerApplication | Started CustomPaymentHandlerApplication in 25.031 seconds (JVM running for 26.219)
Custom service | 2020-02-12 20:20:22.761 | CustomController | Pay initialized
Custom service | 2020-02-12 20:20:22.971 | IdGenerator | attempt: 0
Custom service | 2020-02-12 20:20:22.972 | IdGenerator | index: 9885135972
Custom service | 2020-02-12 20:20:22.982 | IdGenerator | not found this id
Custom service | 2020-02-12 20:20:23.084 | CustomController | Pay initialized ended
Custom service | 2020-02-12 20:20:23.084 | CustomController | Payment init
Custom service | 2020-02-12 20:20:23.085 | CustomController | Tx ended sucessfull, amount:  20.0 , clientSeller : 1 has started
Custom service | 2020-02-12 20:20:23.166 | CustomController | Pay initialized ended
Custom service | 2020-02-12 21:32:39.998 | CustomController | Pay initialized
Custom service | 2020-02-12 21:32:40.035 | IdGenerator | attempt: 0
Custom service | 2020-02-12 21:32:40.035 | IdGenerator | index: 4297603579
Custom service | 2020-02-12 21:32:40.038 | IdGenerator | not found this id
Custom service | 2020-02-12 21:32:40.159 | CustomController | Pay initialized ended
Custom service | 2020-02-12 21:32:40.160 | CustomController | Payment init
Custom service | 2020-02-12 21:32:40.160 | CustomController | Tx ended sucessfull, amount:  20.0 , clientSeller : 1 has started
Custom service | 2020-02-12 21:32:40.271 | CustomController | Pay initialized ended
